law	family	cell	R2	offLine%	Lspan	darkestL*	darkP05	gapMedMM	gapP05MM	gapP95MM	gapRatioMed	gapRatioP95	monotonic%	spacingCoV	spacingStep	driftBeat	wStepAlong	wStepAcross	wRange	HFALL95	HFALLstep	moireRMS	moireLF	moireLFmax	freeEndMM	freeEndRawMM	bareMM	inkMM	weightedInkMM	paths	floorRulings	bundlePasses	bundleFlood%	contGapMM	contFlood%	screenAngles	screenSeps
NO TONE	ref	sphere-hatch	0.036	47.6	4.3	28.9	92.6	3.41	0.48	4.39	1.15	1.88	17.6	0	1		0	0	1-1	4.05	39.71	3.76	1.98	18.37	0	0	2.25	775.4	775.4	23						19/34	15
NO TONE	ref	capsule-hatch	0.03	49.1	4.3	26.6	92.4	3.02	0.43	4.24	1.2	1.91	20.3	0	1		0	0	1-1	4.68	38.92	3.67	1.83	16.5	0	0	2.16	744.8	744.8	24						23/39	16
NO TONE	ref	cylinder-hatch	0.165	42.2	6.1	38.8	91.2	4.35	0.85	4.93	1.04	1.9	32.9	0	1		0	0	1-1	13.94	42.68	3.9	2.29	13.98	0	0	2.47	891.3	891.3	24						31	
NO TONE	ref	sphere-crosshatch	0.056	38.4	7.8	4.5	85.6	2.78	0.12	4.38	1.22	5.16	16.6	0	1		0	0	1-1	12.21	71.87	7.55	4.28	39.64	0	0	2.12	1556.9	1556.9	46						19/160/34	15/39/54
NO TONE	ref	ellipsoid-contour	0.027	45	1.9	81.4	90.2	2.04	0.5	2.58	1.09	1.97	45.5	0	1		0	0	1-1	2.21	8.63	2.38	1.25	5.18	0	0	1.41	753	753	20						2/17/166	15/16/31
nibAngle	width	sphere-hatch	0.183	15.4	15.6	4.5	62.9	2.16	0.33	3.16	1.12	1.5	25.1	0.31	1.67	51	1.825	0.425	1-5	5.14	79.67	9.11	5.6	31.75	0	24.75	1.66	1192.4	2920.4	515	103/103					20	
nibAngle	width	capsule-hatch	0.18	12.7	15.9	4.5	60.9	1.96	0.36	2.78	1.15	1.83	28.4	0.312	2.5	56	1.215	0.515	1-4.86	9.93	82.05	9.28	5.36	27.79	0	21.5	1.71	1128.1	2696.5	462	100/100					24	
nibAngle	width	cylinder-hatch	0.012	75.6	9.9	4.5	68.3	2.23	0.52	2.67	1.05	1.74	19.8	0.169	1.75	126	2.195	0.351	1-4.26	36.45	77.3	9.18	5.58	33.4	0	22.5	1.5	1653	3627.6	583	118/118					30	
nibAngle	width	sphere-crosshatch	0.654	23.3	70.4	4.5	4.5	1.8	0.14	2.87	1.17	3.26	22.4	0.236	1.67	51	2.087	0.756	1-5.99	20.9	60.7	16.25	9.9	33.71	0	24.75	1.56	2288.7	6702.9	886	206/206					20/149	51
nibAngle	width	ellipsoid-contour	0.263	13.9	35.1	4.5	10	1.74	0.78	2.48	1.22	1.58	51.9	0.142	1.33	185	1.777	0.506	1-5.45	7.87	25.1	18.85	9.32	24.89	0	16.5	1.66	774.3	2425	370	80/82					2/17	15
taperedEnds	width	sphere-hatch	0.513	5.7	27.5	4.5	53.7	2.16	0.33	3.16	1.12	1.5	25.1	0.31	1.67	51	1.535	0.539	1-5.97	5.77	77.18	8.37	3.37	26.96	0	22.63	1.66	1192.4	3630.8	471	103/103					20/35	15
taperedEnds	width	capsule-hatch	0.474	7.5	29.4	4.5	51.8	1.96	0.36	2.78	1.15	1.83	28.4	0.312	2.5	56	1.486	0.617	1-5.96	8.34	79.56	9.63	3.15	23.48	0	20.35	1.71	1128.1	3391	444	100/100					24	
taperedEnds	width	cylinder-hatch	0.393	25.5	21.9	4.5	48.8	2.23	0.52	2.67	1.05	1.74	19.8	0.169	1.75	126	3.628	0.677	1-5.85	34.79	79.06	10.19	5.27	30.76	0	21.75	1.5	1653	4982	625	118/118					30	
taperedEnds	width	sphere-crosshatch	0.781	19.6	74.5	4.5	4.5	2.22	0.1	3.27	1.16	4.08	39.1	0.236	1.67	51	1.973	0.565	1-5.98	20.61	61.67	13.08	8.15	30.11	0	23.94	1.56	2288.7	6897.3	907	206/206					159/20	41
taperedEnds	width	ellipsoid-contour	0.404	7.5	37.4	4.5	26.6	1.74	0.78	2.48	1.22	1.58	51.9	0.142	1.33	185	2.339	0.539	1-5.48	6.74	18.94	15.37	3.82	13.43	0	16.5	1.66	774.3	2382.1	290	80/82					2/17	15
weightModulated	width	sphere-hatch	0.122	28.7	19.1	4.5	41.5	2.79	0.41	4.07	1.19	1.92	35	0.282	2.4	50	3.823	1.847	1.18-5	6.7	77.12	16.91	10.93	41.79	0	0	2.06	884.6	3344	25	103/103					20/36	16
weightModulated	width	capsule-hatch	0.138	22	21.5	4.5	38.4	2.64	0.49	3.95	1.2	2.25	33.3	0.215	2	54	3.83	1.758	1.17-5	7.45	80.2	17.47	10.83	47.74	0	0	2.02	848.8	3292	27	100/100					24	
weightModulated	width	cylinder-hatch	0.001	56.6	17.4	4.5	34.6	3.03	0.66	3.95	1.16	2.11	31.3	0.134	1.6	132	3.377	1.66	1.61-4.99	37.31	76.7	18.95	13.4	52.36	0	0	2.02	1243.7	4151.7	33	118/118					31	
weightModulated	width	sphere-crosshatch	0.066	47.2	15.5	4.5	4.5	2.41	0.14	4.06	1.21	3.92	31.3	0.201	2.4	50	3.823	1.847	1.18-5	29.15	61.16	25.67	19.27	53.09	0	0	1.91	1764	6424.5	51	206/206					20/36/145	16/55/71
weightModulated	width	ellipsoid-contour	0.105	46.9	17.8	4.5	15.2	2.65	1.04	3.2	1.08	1.65	60.7	0.085	1.2	1203	0	1.532	1.02-4.98	3.51	20.8	20.99	15.46	61.87	0	0	2.02	576.2	1453.5	15	74/82					2/17/166	15/16/31
isophoteWidth	width	sphere-hatch	0.524	26.9	29.4	4.5	50.9	2.16	0.33	3.16	1.12	1.5	25.1	0.31	1.67	51	2.518	1.284	1-5.99	4.33	77.78	10.05	4.89	27.79	0	19.25	1.66	1192.4	3694.4	348	103/103					20/35	15
isophoteWidth	width	capsule-hatch	0.497	21.1	31.4	4.5	46	1.96	0.36	2.78	1.15	1.83	28.4	0.312	2.5	56	2.578	1.616	1-5.99	8.38	80.56	11.37	4.38	24.36	0	20.35	1.71	1128.1	3449.2	327	100/100					24	
isophoteWidth	width	cylinder-hatch	0.412	36.4	30.1	4.5	42.5	2.23	0.52	2.67	1.05	1.74	19.8	0.169	1.75	126	4.167	1.479	1-5.99	34.79	79.08	11.75	6.27	32.06	0	22.25	1.5	1653	5118.5	382	118/118					30	
isophoteWidth	width	sphere-crosshatch	0.743	29	77	4.5	4.5	1.8	0.14	2.87	1.17	3.26	22.4	0.236	1.67	51	2.928	1.284	1-5.99	21.75	61.47	16.86	11.38	34.97	0	21.25	1.56	2288.7	7033.4	594	206/206					20/149	51
